created_at,tweet
Wed Feb 08 23:18:46 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:16:51 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:16:08 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:15:46 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:15:27 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:15:16 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:15:07 +0000 2023,@Alexmedeirosrm @RodrygoGoes Continua sendo um dos responsáveis pela eliminação do Brasil na copa. Jogador de clube… https://t.co/BJ2bFnvxNu
Wed Feb 08 23:14:24 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:13:00 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:11:18 +0000 2023,pra bater pênalti que culminou a eliminação do Brasil na copa esse aqui não sabe né. vtnc mlk https://t.co/JZAgP71dYf
Wed Feb 08 23:07:02 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:05:27 +0000 2023,"@TNTSportsBR Cara fodeu o Brasil na copa e quer vir tirar onda, se fudê"
Wed Feb 08 23:05:15 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:04:00 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 23:02:23 +0000 2023,"Fla no mundial 🤝 Brasil na copa

Ser eliminado em fases anteriores e evitar maior vexame"
Wed Feb 08 23:01:54 +0000 2023,"estava todo mundo apostando no brasil na copa, mas alguém pipocou https://t.co/gJQJT9OzL1"
Wed Feb 08 22:56:58 +0000 2023,Tá se achando muito pra alguém que fudeo o Brasil na copa vai com calma https://t.co/8S0nNzJ28l
Wed Feb 08 22:55:39 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 22:55:37 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 22:55:12 +0000 2023,"O São Paulo com o Ceni vai passar vergonha na Copa do Brasil, não passa! Horrrrrrrrrivel ver esse time jogar"
Wed Feb 08 22:54:47 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 22:53:04 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 22:50:03 +0000 2023,Papu Gómez revela comemoração da Argentina após eliminação do Brasil na Copa https://t.co/oxY3H15eGA
Wed Feb 08 21:42:53 +0000 2023,"#ESPNFCBR o Rodrigo tem que aprender primeiro bate pênalti com Gabigool, pq foi quem entregou o Brasil na copa, do… https://t.co/1MUKIUfDDp"
Wed Feb 08 21:41:42 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 21:41:06 +0000 2023,"@goleada_info Rodrygo, o responsável pela eliminação precoce do Brasil na Copa kkk. Esse nasceu pra ser sombra do V… https://t.co/ors17p9pZb"
Wed Feb 08 21:40:40 +0000 2023,"@andrizek Argentina campeã do mundo e o futebol argentino não ganha uma libertadores desde 2018, inclusive não chega na final desde 2019"
Wed Feb 08 21:40:23 +0000 2023,@simpraisa Essa criança aí eliminou o Brasil na copa
Wed Feb 08 21:38:57 +0000 2023,@crfgustavo7 @realmilgrauu O zico também fodeu o Brasil na copa de 86 nassaum
Wed Feb 08 21:38:44 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 21:38:17 +0000 2023,@futebol_info Falou aquele que enterrou o Brasil@na copa
Wed Feb 08 21:36:11 +0000 2023,RAYSSA LEAL CAMPEÃ DO MUNDO
Wed Feb 08 21:35:17 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 21:35:06 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 21:33:55 +0000 2023,"@karine_pacher zico idolo do flamengo tambem perdeu penalti na copa  e  eliminou o Brasil na copa, é horrivel tbm ent?"
Wed Feb 08 21:33:55 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 21:33:11 +0000 2023,"Vtnc Rodrygo pipoqueiro pra crlh, vai aprender a bater pênalti, fudeu o Brasil na copa"
Wed Feb 08 21:33:08 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 21:32:17 +0000 2023,@realmilgrauu Tá explicado porque esse corno fudeu o brasil na copa
Wed Feb 08 21:32:16 +0000 2023,Falou o horrível que perdeu pênalti e eliminou o Brasil na copa https://t.co/b4AFNGY63l
Wed Feb 08 21:31:41 +0000 2023,"@futebol_info Pra ser sincero, a gente já esperava que o Rodrigo perdesse o pênalti que desclassificou o Brasil na… https://t.co/7VAY4pkofJ"
Wed Feb 08 21:31:26 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Wed Feb 08 21:31:23 +0000 2023,"@flaflashi @futebol_info Só pra lembrar que o grande ídolo do seu time afundou o brasil na copa, pq é um puta bagre"
Wed Feb 08 21:31:18 +0000 2023,Rodrygo o responsável pela eliminação do Brasil na copa? 🤣🤣🤣🤣
